lemma,n,pos,grc,en,ja,fr,usg_ja,usg_en,cdo
ϣ,1,V,,"be able, can",できる,"pouvoir, être capable",,,
ϣϥⲉ,1,NUM,,seventy,七十,soixante-dix,,,
ϣϥⲉⲥⲛⲟⲟⲩⲥ,1,NUM,,seventy-two,七十二,soixante-douze,,,
ϣⲁ,1,V,,(habitual) usually does,いつも～する(習慣),jusqu'à / (habituel),,,
ϣⲁϫⲉ,1,V,,"speak; word, speech",語る・言葉,parler ; parole,,,
ϣⲁⲣⲉ,1,V,,(habitual) usually does,いつも～する(習慣),(habituel) fait d'ordinaire,,,
ϣⲉ,1,NUM,,hundred,百,cent,,,
ϣⲉⲥⲉ,1,NUM,,(in compounds) hundred(s),百(複合),cent(s) (en composition),,,
ϣⲏϣ,1,ADJ,,"equal, alike",等しい,"égal, semblable",,,
ϣⲏⲣⲉ,1,N,,"son, child",子・息子,"fils, enfant",,,
ϣⲓⲛⲉ,1,V,,"seek, ask, inquire",尋ねる・探す,"chercher, demander",,,
ϣⲙⲧ,1,NUM,,three-hundred (in 360),三百(複合),trois-cents (dans 360),,,
ϣⲟ,1,NUM,,thousand,千,mille,,,
ϣⲟⲙⲛⲧ,1,NUM,,three,三,trois,,,
ϣⲟⲙⲧⲉ,1,NUM,,three (f.),三(女),trois (f.),,,
ϣⲟⲟⲡ,1,VSTAT,,"existing, being",存在する,"existant, étant",,,
ϣⲟⲣⲡ,1,NUM,,first; before,最初・以前,premier ; auparavant,,,
ϣⲣⲡ,1,ADV,,"first, beforehand",先に・あらかじめ,d'abord,,,
ϣⲱ,1,V,,become (pref. of ϣⲱⲡⲉ),生じる(語幹),devenir (radical de ϣⲱⲡⲉ),,,
ϣⲱⲡⲉ,1,V,,"become, come to be, exist",生じる・存在する,"devenir, advenir, exister",,,
ϥ,1,PPER,,"he, him, it (m.)",彼・それ(男),"il, le (m.)",,,
ϥⲧⲟⲟⲩ,1,NUM,,four,四,quatre,,,
ϩⲁ,1,PREP,,"under, for, before",～の下に・のために,"sous, pour, devant",,,
ϩⲁⲉⲓⲃⲉⲥ,1,N,,shadow,影,ombre,,,
ϩⲁⲏ,1,N,,"end, last",終わり・最後,"fin, dernier",,,
ϩⲁⲑⲏ,1,PREP,,"before, prior to",～より前に,"avant, antérieurement à",,,
ϩⲁⲧⲉⲩ,1,PREP,,before them,彼らの前に,avant eux,,,
ϩⲁⲧⲏ,1,PREP,,"before, in front of",～の前に,"devant, en face de",,,
ϩⲉ,1,N,,"manner, way",仕方・様(ⲛⲑⲉ「～のように」),"manière, façon",名詞,noun 'manner',
ϩⲉ,2,V,,fall,落ちる,tomber,動詞,verb 'fall',
ϩⲉⲛ,1,ART,,some (indef. pl.),いくつかの(不定複数),des (indéf. pl.),,,
ϩⲏ,1,N,,"front, fore-part",前・先,"devant, partie antérieure",,,
ϩⲏⲧ,1,N,,"heart, mind",心,"cœur, esprit",名詞,noun 'heart',
ϩⲏⲧ,2,N,,"front, fore-part; before",前・先,"devant, partie antérieure",位置名詞 ϩⲏⲧ=,'front/before',
ϩⲓ,1,PREP,,"on, upon; and",～の上に・および,sur ; et,,,
ϩⲓϫⲙ,1,PREP,,"upon, over",～の上に,"sur, au-dessus de",,,
ϩⲓϫⲛ,1,PREP,,"upon, over",～の上に,"sur, au-dessus de",,,
ϩⲓϫⲱ,1,PREP,,upon (him/it),～の上に,sur (lui/cela),,,
ϩⲓⲇⲉⲁ,1,N,Y,"idea, form (ἰδέα)",形相・イデア(ἰδέα),"forme, idée (ἰδέα)",,,
ϩⲓⲟⲙⲉ,1,N,,women,女たち,femmes,,,
ϩⲓⲥⲟⲇⲩⲛⲁⲙⲓⲥ,1,ADJ,Y,equal in power (ἰσοδύναμος),等しい力の(ἰσοδύναμος),d'égale puissance (ἰσοδύναμος),,,
ϩⲓⲥⲟⲭⲣⲟⲛⲟⲥ,1,ADJ,Y,co-eternal (ἰσόχρονος),同時的・等時の(ἰσόχρονος),co-éternel (ἰσόχρονος),,,
ϩⲓⲧⲛ,1,PREP,,"through, by means of",～を通して・によって,"par, au moyen de",,,
ϩⲓⲧⲟⲟⲧ,1,PREP,,"by, through (the hand of)",～によって・を通して,par (la main de),,,
ϩⲙ,1,PREP,,in (before ⲡ/ⲙ),～の中に,dans,,,
ϩⲛ,1,PREP,,in,～の中に,dans,,,
ϩⲟⲓⲛⲉ,1,N,,"some, certain ones",ある者たち,"certains, quelques-uns",,,
ϩⲟⲟⲩ,1,N,,day,日,jour,,,
ϩⲟⲟⲩ,2,VSTAT,,"be bad",悪い,"être mauvais",,,C6971
ϩⲟⲟⲩⲧ,1,N,,"male, man",男・雄,"mâle, homme",,,
ϩⲟⲟⲩⲧⲥϩⲓⲙⲉ,1,N,,"male-female, androgyne",両性具有・男女,"mâle-femelle, androgyne",,,
ϩⲟⲩⲉⲓⲧ,1,NUM,,"first, foremost",第一の,premier,,,
ϩⲟⲩⲱⲛϩ,1,V,,has appeared / appearing,現れた,"est apparu, se manifestant",,,
ϩⲩⲡⲏⲣⲉⲥⲓⲁ,1,N,Y,"service, ministry (ὑπηρεσία)",奉仕・務め(ὑπηρεσία),service (ὑπηρεσία),,,
ϩⲩⲡⲟⲧⲁⲅⲏ,1,N,Y,subjection (ὑποταγή),従属(ὑποταγή),soumission (ὑποταγή),,,
ϩⲩⲥⲧⲉⲣⲏⲙⲁ,1,N,Y,deficiency (ὑστέρημα),欠如・ヒュステレーマ(ὑστέρημα),déficience (ὑστέρημα),,,
ϩⲱ,1,ADV,,"also, too / as far as",～もまた／まで,"aussi, de même ; jusqu'à",,,
ϩⲱⲥ,1,CONJ,Y,"as, like (ὡς)",～のように(ὡς),comme (ὡς),,,
ϩⲱⲥⲧⲉ,1,CONJ,Y,so that (ὥστε),その結果(ὥστε),de sorte que (ὥστε),,,
ϫⲉ,1,CONJ,,"that, : , because",～と・なぜなら(引用/従属),"que, car, : (cit.)",,,
ϫⲉⲕⲁⲁⲥ,1,CONJ,,"so that, in order that",～するために,afin que,,,
ϫⲓ,1,V,,"take, receive",取る・受け取る,"prendre, recevoir",,,
ϫⲓⲛ,1,PREP,,"from, since",～から(以来),"depuis, à partir de",,,
ϫⲟ,1,V,,"say, tell",言う,dire,動詞,verb 'say',
ϫⲟ,2,V,,"sow, plant",蒔く,semer,動詞,verb 'sow',
ϫⲟⲉⲓⲥ,1,N,,"lord, master",主・主人,"seigneur, maître",,,
ϫⲟⲟ,1,V,,"say, tell",言う・語る,"dire, raconter",,,
ϫⲡⲟ,1,V,,"beget, bring forth, acquire",生む・産出する,"engendrer, produire, acquérir",,,
ϫⲱ,1,V,,"say, speak",言う,dire,,,
ϭⲉ,1,PTC,,"then, therefore (οὖν)",それゆえ・では,"donc, alors",,,
ϭⲟⲙ,1,N,,"power, might, ability",力・能力,"puissance, force",,,
ϯ,1,V,,"give, set / this(f.)",与える・置く,ce(tte) (f.) / donner,,,
ϯⲟⲩ,1,NUM,,five,五,cinq,,,
ϯⲣⲛ,1,V,,"name, give a name",名づける,"nommer, donner un nom",,,
ϯⲥⲃⲱ,1,V,,teach; teaching,教える・教え,enseigner ; enseignement,,,
ⲁ,1,PRET,,(perfect / past) did,～した(完了),(parfait) il a …,,,
ⲁϥ,1,PRET,,he did (perfect),彼は～した,il a (parfait),,,
ⲁⲁ,1,V,,"do, make it",それを行う,le faire,,,
ⲁⲁϥ,1,V,,do it / make it (m.),それを行う(男),le faire (m.),,,
ⲁⲁⲥ,1,V,,do it / make it (f.),それを行う(女),le faire (f.),,,
ⲁⲅⲁⲑⲟⲥ,1,ADJ,Y,good (ἀγαθός),善き(ἀγαθός),bon (ἀγαθός),,,
ⲁⲅⲁⲡⲏ,1,N,Y,"Love, Agape (ἀγάπη)",愛・アガペー(ἀγάπη),"Amour, Agapè (ἀγάπη)",,,
ⲁⲅⲅⲉⲗⲟⲥ,1,N,Y,angel (ἄγγελος),天使(ἄγγελος),ange (ἄγγελος),,,
ⲁⲅⲉ,1,V,Y,"lead, bring (ἄγω)",導く(ἄγω),"conduire, mener (ἄγω)",,,
ⲁⲅⲉⲛⲛⲏⲧⲟⲥ,1,ADJ,Y,unbegotten (ἀγέννητος),非産出の・自存の(ἀγέννητος),inengendré (ἀγέννητος),,,
ⲁⲇⲁⲙ,1,NPROP,Y,Adam,アダム,Adam,,,
ⲁⲑⲁⲛⲁⲧⲟⲥ,1,ADJ,Y,immortal (ἀθάνατος),不死の(ἀθάνατος),immortel (ἀθάνατος),,,
